line,bus0,bus1,v_nom_kv,length_km,r_ohm,x_ohm,s_max_mva,status
L_306025889_428964126,306025889,428964126,20.0,0.09276871745642408,0.02319217936410602,0.032469051109748424,25.0,active
L_306028620_306029129,306028620,306029129,0.4,0.040072601999831876,0.024043561199899127,0.01602904079993275,0.5,active
L_306028620_306029053,306028620,306029053,0.4,0.062158244449489274,0.03729494666969356,0.02486329777979571,0.5,active
L_306028620_327696879,306028620,327696879,0.4,0.13801757145541396,0.08281054287324838,0.055207028582165585,0.5,active
L_306029050_317304165,306029050,317304165,20.0,0.06348176702056615,0.01587044175514154,0.022218618457198153,25.0,active
L_306029050_1338075467,306029050,1338075467,20.0,0.11249446267852926,0.028123615669632316,0.03937306193748524,25.0,active
L_306029053_306029128,306029053,306029128,0.4,0.04142132677901238,0.024852796067407427,0.01656853071160495,0.5,active
L_306029055_539180765,306029055,539180765,0.4,0.025690556912811427,0.015414334147686856,0.010276222765124571,0.5,active
L_306029128_539180765,306029128,539180765,0.4,0.06801869511577113,0.040811217069462676,0.027207478046308454,0.5,active
L_306029128_539180634,306029128,539180634,20.0,0.18270023000671604,0.04567505750167901,0.0639450805023506,25.0,active
L_306029129_539180749,306029129,539180749,0.4,0.11338210332750656,0.06802926199650393,0.045352841331002626,0.5,active
L_311828493_8651853945,311828493,8651853945,0.4,0.042216240047321774,0.025329744028393063,0.01688649601892871,0.5,active
L_311828493_3089600313,311828493,3089600313,0.4,0.22425020832743817,0.1345501249964629,0.08970008333097527,0.5,active
L_311829263_10820180452,311829263,10820180452,0.4,0.05878797596265467,0.0352727855775928,0.02351519038506187,0.5,active
L_311829263_429648387,311829263,429648387,0.4,0.061082745135016894,0.03664964708101014,0.024433098054006758,0.5,active
L_311829271_8651853945,311829271,8651853945,0.4,0.08205873698280841,0.049235242189685044,0.03282349479312337,0.5,active
L_311829271_8651853930,311829271,8651853930,0.4,0.10083523650018236,0.06050114190010941,0.04033409460007295,0.5,active
L_311830099_10820180433,311830099,10820180433,0.4,0.14824472328757482,0.0889468339725449,0.05929788931502993,0.5,active
L_311830099_1629623238,311830099,1629623238,20.0,0.18929959948088865,0.04732489987022216,0.06625485981831102,25.0,active
L_311830099_1629623287,311830099,1629623287,20.0,0.5329259875214581,0.13323149688036454,0.18652409563251035,25.0,active
L_312074507_4719942069,312074507,4719942069,20.0,0.011636683550687553,0.0029091708876718882,0.0040728392427406435,25.0,active
L_312074507_4583119336,312074507,4583119336,20.0,0.09281189668914021,0.023202974172285052,0.03248416384119907,25.0,active
L_312245693_3686782650,312245693,3686782650,20.0,0.02590472691940814,0.006476181729852035,0.009066654421792848,25.0,active
L_312245693_539533648,312245693,539533648,20.0,0.16581019637213928,0.04145254909303482,0.058033568730248744,25.0,active
L_312245693_327682191,312245693,327682191,20.0,0.3227827123323553,0.08069567808308882,0.11297394931632435,25.0,active
L_312248145_2499254561,312248145,2499254561,0.4,0.07528802569177516,0.04517281541506509,0.030115210276710064,0.5,active
L_317303841_317303842,317303841,317303842,0.4,0.061982553179522906,0.03718953190771374,0.024793021271809164,0.5,active
L_317303841_539178163,317303841,539178163,0.4,0.06525587797600699,0.039153526785604194,0.026102351190402797,0.5,active
L_317303842_317303843,317303842,317303843,0.4,0.06321120032078445,0.03792672019247067,0.02528448012831378,0.5,active
L_317303843_317304165,317303843,317304165,0.4,0.1561224710839516,0.09367348265037097,0.06244898843358065,0.5,active
L_317304126_317304127,317304126,317304127,0.4,0.06331424830579897,0.037988548983479385,0.02532569932231959,0.5,active
L_317304127_5329263324,317304127,5329263324,0.4,0.04679637263988188,0.028077823583929126,0.018718549055952754,0.5,active
L_317304903_1789080547,317304903,1789080547,20.0,0.027719989118901635,0.006929997279725409,0.009701996191615572,25.0,active
L_317304903_317305276,317304903,317305276,20.0,0.2313302091907116,0.0578325522976779,0.08096557321674905,25.0,active
L_317305276_327682207,317305276,327682207,20.0,0.07009046976792481,0.017522617441981202,0.02453166441877368,25.0,active
L_317305276_317305278,317305276,317305278,20.0,0.08552381146095041,0.021380952865237602,0.029933334011332642,25.0,active
L_317305278_1434613465,317305278,1434613465,0.4,0.11843898829596887,0.07106339297758132,0.04737559531838755,0.5,active
L_317305296_539516461,317305296,539516461,0.4,0.009212961174053036,0.005527776704431822,0.0036851844696212145,0.5,active
L_317305296_317305298,317305296,317305298,0.4,0.039452611665644975,0.023671566999386984,0.01578104466625799,0.5,active
